DAY_OF_WEEK,MKT_UNIQUE_CARRIER,OP_UNIQUE_CARRIER,ORIGIN,ARR_DELAY,SCH_DEP_TIME,SCH_ARR_TIME,ORGIN_WTH_temp,ORGIN_WTH_precip,ORGIN_WTH_precipprob,ORGIN_WTH_snow,ORGIN_WTH_windspeed,ORGIN_WTH_winddir,ORGIN_WTH_cloudcover,ORGIN_WTH_visibility,ORGIN_WTH_severerisk,DEST_WTH_temp,DEST_WTH_precip,DEST_WTH_precipprob,DEST_WTH_snow,DEST_WTH_windspeed,DEST_WTH_winddir,DEST_WTH_cloudcover,DEST_WTH_visibility,DEST_WTH_severerisk
3,AA,PT,ORD,3.0,2022-01-12 17:30:00,2022-01-12 20:18:00,38.7,0.0,0,0.0,3.8,227.0,92.8,9.9,10.0,35.8,0.0,0,0.0,9.0,270.0,100.0,8.6,10.0
3,UA,OO,ORD,2.0,2022-01-12 17:55:00,2022-01-12 20:52:00,38.7,0.0,0,0.0,3.8,227.0,92.8,9.9,10.0,35.0,0.0,0,0.0,4.8,268.0,100.0,2.6,10.0
3,B6,B6,JFK,7.0,2022-01-12 09:25:00,2022-01-12 10:43:00,28.6,0.0,0,0.0,8.9,220.0,23.8,9.9,10.0,30.7,0.0,0,0.0,12.6,199.0,100.0,9.9,10.0
3,B6,B6,JFK,-18.0,2022-01-12 21:59:00,2022-01-12 23:14:00,37.4,0.0,0,0.0,6.6,200.0,13.4,9.9,10.0,34.9,0.001,100,0.0,7.9,248.0,100.0,3.7,10.0
3,B6,B6,MCO,-7.0,2022-01-12 16:17:00,2022-01-12 19:00:00,72.1,0.0,0,0.0,11.1,68.0,6.6,9.9,10.0,35.0,0.0,0,0.0,4.8,210.0,100.0,9.7,10.0
3,DL,9E,JFK,-10.0,2022-01-12 12:30:00,2022-01-12 13:45:00,34.9,0.0,0,0.0,8.5,230.0,23.8,9.9,10.0,34.9,0.0,0,0.0,9.2,228.0,100.0,9.9,10.0
3,UA,OO,ORD,-4.0,2022-01-12 10:45:00,2022-01-12 13:37:00,38.0,0.0,0,0.0,7.9,212.0,100.0,9.9,10.0,34.9,0.0,0,0.0,9.2,228.0,100.0,9.9,10.0
3,UA,G7,ORD,-26.0,2022-01-12 14:30:00,2022-01-12 17:21:00,40.9,0.0,0,0.0,8.1,263.0,98.7,9.9,10.0,34.9,0.0,0,0.0,5.9,209.0,100.0,9.9,10.0
3,AA,PT,ORD,-9.0,2022-01-19 17:30:00,2022-01-19 20:18:00,18.1,0.0,0,0.0,11.9,330.0,38.9,9.9,10.0,40.9,0.0,0,0.0,15.0,261.0,100.0,9.9,10.0
3,UA,OO,ORD,-2.0,2022-01-19 17:55:00,2022-01-19 20:52:00,18.1,0.0,0,0.0,11.9,330.0,38.9,9.9,10.0,38.8,0.0,0,0.0,17.0,290.0,100.0,9.9,10.0
3,B6,B6,JFK,3.0,2022-01-19 09:25:00,2022-01-19 10:43:00,37.1,0.0,0,0.0,8.6,200.0,88.8,9.9,10.0,38.8,0.0,0,0.0,13.6,198.0,100.0,9.9,10.0
3,B6,B6,JFK,36.0,2022-01-19 21:59:00,2022-01-19 23:14:00,47.3,0.0,0,0.0,9.5,232.0,26.7,9.9,10.0,35.8,0.0,0,0.0,14.0,281.0,100.0,9.9,10.0
3,B6,B6,MCO,-22.0,2022-01-19 16:17:00,2022-01-19 19:00:00,73.7,0.0,0,0.0,8.7,120.0,6.2,9.9,10.0,41.0,0.0,0,0.0,12.9,259.0,99.6,9.9,10.0
3,DL,9E,JFK,-5.0,2022-01-19 12:30:00,2022-01-19 13:45:00,42.2,0.0,0,0.0,11.4,200.0,23.8,9.9,10.0,42.1,0.0,0,0.0,12.6,210.0,100.0,9.9,10.0
3,UA,OO,ORD,-14.0,2022-01-19 10:45:00,2022-01-19 13:37:00,22.2,0.0,0,0.0,14.5,308.0,78.4,9.9,10.0,42.1,0.0,0,0.0,12.6,210.0,100.0,9.9,10.0
3,UA,G7,ORD,-26.0,2022-01-19 14:30:00,2022-01-19 17:21:00,22.3,0.0,0,0.0,13.1,305.0,78.4,9.9,10.0,43.0,0.0,0,0.0,13.6,221.0,100.0,9.9,10.0
3,AA,PT,ORD,6.0,2022-01-26 17:30:00,2022-01-26 20:18:00,9.1,0.0,0,0.0,9.6,181.0,29.4,9.9,10.0,5.9,0.0,0,0.0,0.0,0.0,0.0,9.9,10.0
3,UA,OO,ORD,-16.0,2022-01-26 17:55:00,2022-01-26 20:52:00,9.1,0.0,0,0.0,9.6,181.0,29.4,9.9,10.0,3.5,0.0,0,0.0,5.5,136.0,0.0,9.9,10.0
3,B6,B6,JFK,-19.0,2022-01-26 09:25:00,2022-01-26 10:43:00,21.5,0.0,0,0.0,3.7,349.0,7.2,9.9,10.0,11.7,0.0,0,0.0,0.2,2.0,29.6,9.9,10.0
3,B6,B6,JFK,-6.0,2022-01-26 21:59:00,2022-01-26 23:14:00,22.1,0.0,0,0.0,8.1,40.0,0.0,9.9,10.0,3.6,0.0,0,0.0,5.8,110.0,0.0,9.9,10.0
3,B6,B6,MCO,-11.0,2022-01-26 16:17:00,2022-01-26 19:00:00,62.8,0.0,0,0.0,12.9,29.0,100.0,9.9,10.0,6.8,0.0,0,0.0,3.2,88.0,0.0,9.9,10.0
3,DL,9E,JFK,-11.0,2022-01-26 12:30:00,2022-01-26 13:45:00,25.3,0.0,0,0.0,11.8,301.0,7.2,9.9,10.0,15.9,0.0,0,0.0,6.8,283.0,26.9,9.9,10.0
3,UA,OO,ORD,-6.0,2022-01-26 10:45:00,2022-01-26 13:37:00,4.9,0.0,0,0.0,9.3,222.0,0.0,9.9,10.0,15.9,0.0,0,0.0,6.8,283.0,26.9,9.9,10.0
3,UA,G7,ORD,-21.0,2022-01-26 14:30:00,2022-01-26 17:21:00,9.9,0.0,0,0.0,9.2,227.0,0.0,9.9,10.0,15.0,0.0,0,0.0,4.7,39.0,26.2,9.9,10.0
