MONTH,DAY_OF_WEEK,FL_DATE,MKT_UNIQUE_CARRIER,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,ORIGIN,DEST,CRS_DEP_TIME,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,DIVERTED,DUP,DISTANCE,WEATHER_DELAY,NAS_DELAY,LATE_AIRCRAFT_DELAY,DIV_AIRPORT_LANDINGS,CRS_ELAPSED_TIME
1,5,1/21/22 0:00,B6,B6,656,MCO,SYR,1617,1900,1834.0,-26.0,0,0,N,1053,,,,0,
1,5,1/21/22 0:00,DL,9E,5446,JFK,SYR,1230,1345,1328.0,-17.0,0,0,N,209,,,,0,
1,5,1/21/22 0:00,UA,G7,4576,ORD,SYR,1430,1721,1728.0,7.0,0,0,N,607,,,,0,
1,5,1/21/22 0:00,UA,OO,5392,ORD,SYR,1045,1337,1327.0,-10.0,0,0,N,607,,,,0,
1,5,1/21/22 0:00,UA,OO,5412,ORD,SYR,1755,2052,2106.0,14.0,0,0,N,607,,,,0,
1,5,1/28/22 0:00,AA,OO,3253,ORD,SYR,1240,1531,,,1,0,N,607,,,,0,
1,5,1/28/22 0:00,AA,PT,6235,ORD,SYR,1730,2018,2025.0,7.0,0,0,N,607,,,,0,
1,5,1/28/22 0:00,B6,B6,116,JFK,SYR,925,1043,1209.0,86.0,0,0,N,209,0.0,24.0,30.0,0,
1,5,1/28/22 0:00,B6,B6,2516,JFK,SYR,2159,2314,2345.0,31.0,0,0,N,209,0.0,31.0,0.0,0,
1,5,1/28/22 0:00,B6,B6,656,MCO,SYR,1617,1900,1835.0,-25.0,0,0,N,1053,,,,0,
1,5,1/28/22 0:00,DL,9E,5446,JFK,SYR,1230,1345,1435.0,50.0,0,0,N,209,0.0,50.0,0.0,0,
1,5,1/28/22 0:00,UA,G7,4576,ORD,SYR,1430,1721,1805.0,44.0,0,0,N,607,0.0,0.0,44.0,0,
1,5,1/28/22 0:00,UA,OO,5392,ORD,SYR,1045,1337,1446.0,69.0,0,0,N,607,0.0,0.0,69.0,0,
1,5,1/28/22 0:00,UA,OO,5412,ORD,SYR,1755,2052,2112.0,20.0,0,0,N,607,0.0,0.0,0.0,0,
1,6,1/1/22 0:00,AA,OO,3276,ORD,SYR,1725,2014,,,1,0,N,607,,,,0,
1,6,1/1/22 0:00,AA,MQ,4316,ORD,SYR,1528,1815,,,1,0,N,607,,,,0,
1,6,1/1/22 0:00,B6,B6,2516,JFK,SYR,2145,2259,2335.0,36.0,0,0,N,209,0.0,0.0,0.0,0,
1,6,1/1/22 0:00,B6,B6,656,MCO,SYR,1313,1556,1618.0,22.0,0,0,N,1053,0.0,0.0,0.0,0,
1,6,1/1/22 0:00,UA,G7,4576,ORD,SYR,1445,1736,,,1,0,N,607,,,,0,
1,6,1/1/22 0:00,UA,OO,5392,ORD,SYR,1040,1332,1307.0,-25.0,0,0,N,607,,,,0,
1,6,1/1/22 0:00,UA,OO,5412,ORD,SYR,1755,2052,,,1,0,N,607,,,,0,
1,6,1/1/22 0:00,WN,WN,1596,MCO,SYR,1030,1320,1254.0,-26.0,0,0,N,1053,,,,0,
1,6,1/8/22 0:00,AA,MQ,4134,ORD,SYR,805,1056,1117.0,21.0,0,0,N,607,0.0,21.0,0.0,0,
