MONTH,DAY_OF_WEEK,FL_DATE,MKT_UNIQUE_CARRIER,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,ORIGIN,DEST,CRS_DEP_TIME,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,DIVERTED,DUP,DISTANCE,WEATHER_DELAY,NAS_DELAY,LATE_AIRCRAFT_DELAY,DIV_AIRPORT_LANDINGS
1,6,1/1/22 0:00,WN,WN,1596,MCO,SYR,1030,1320,1254,-26,0,0,N,1053,,,,0
1,6,1/8/22 0:00,AA,MQ,4134,ORD,SYR,805,1056,1117,21,0,0,N,607,0,21,0,0
1,6,1/8/22 0:00,AA,PT,6235,ORD,SYR,1804,2053,13,200,0,0,N,607,12,16,172,0
1,6,1/8/22 0:00,B6,B6,116,JFK,SYR,925,1043,1040,-3,0,0,N,209,,,,0
1,6,1/8/22 0:00,B6,B6,2516,JFK,SYR,2159,2314,2301,-13,0,0,N,209,,,,0
1,6,1/8/22 0:00,B6,B6,656,MCO,SYR,1617,1900,1844,-16,0,0,N,1053,,,,0
1,6,1/8/22 0:00,DL,9E,5446,JFK,SYR,1230,1345,1328,-17,0,0,N,209,,,,0
1,6,1/8/22 0:00,UA,G7,4576,ORD,SYR,1430,1721,1720,-1,0,0,N,607,,,,0
1,6,1/8/22 0:00,UA,OO,5392,ORD,SYR,1045,1337,1332,-5,0,0,N,607,,,,0
1,6,1/8/22 0:00,UA,OO,5412,ORD,SYR,1755,2052,2228,96,0,0,N,607,0,0,0,0
1,6,1/15/22 0:00,AA,MQ,4134,ORD,SYR,805,1056,1127,31,0,0,N,607,0,31,0,0
1,6,1/15/22 0:00,AA,PT,6235,ORD,SYR,1804,2053,2127,34,0,0,N,607,0,2,28,0
1,6,1/15/22 0:00,B6,B6,116,JFK,SYR,925,1043,1050,7,0,0,N,209,,,,0
1,6,1/15/22 0:00,B6,B6,2516,JFK,SYR,2159,2314,2353,39,0,0,N,209,0,0,0,0
1,6,1/15/22 0:00,B6,B6,656,MCO,SYR,1617,1900,1914,14,0,0,N,1053,,,,0
1,6,1/15/22 0:00,DL,9E,5446,JFK,SYR,1230,1345,1412,27,0,0,N,209,0,27,0,0
1,6,1/15/22 0:00,UA,G7,4576,ORD,SYR,1430,1721,1815,54,0,0,N,607,0,54,0,0
1,6,1/15/22 0:00,UA,OO,5392,ORD,SYR,1045,1337,1339,2,0,0,N,607,,,,0
1,6,1/15/22 0:00,UA,OO,5412,ORD,SYR,1755,2052,2122,30,0,0,N,607,0,0,0,0
1,6,1/22/22 0:00,AA,MQ,4134,ORD,SYR,805,1056,1032,-24,0,0,N,607,,,,0
1,6,1/22/22 0:00,AA,PT,6235,ORD,SYR,1804,2053,2054,1,0,0,N,607,,,,0
1,6,1/22/22 0:00,B6,B6,116,JFK,SYR,925,1043,1114,31,0,0,N,209,0,0,0,0
1,6,1/22/22 0:00,B6,B6,2516,JFK,SYR,2159,2314,2328,14,0,0,N,209,,,,0
1,6,1/22/22 0:00,B6,B6,656,MCO,SYR,1617,1900,1841,-19,0,0,N,1053,,,,0
1,6,1/22/22 0:00,DL,9E,5446,JFK,SYR,1230,1345,1359,14,0,0,N,209,,,,0
1,6,1/22/22 0:00,UA,G7,4576,ORD,SYR,1430,1721,1650,-31,0,0,N,607,,,,0
1,6,1/22/22 0:00,UA,OO,5392,ORD,SYR,1045,1337,1413,36,0,0,N,607,0,0,0,0
1,6,1/22/22 0:00,UA,OO,5412,ORD,SYR,1755,2052,2044,-8,0,0,N,607,,,,0
1,6,1/22/22 0:00,WN,WN,3479,MCO,SYR,1200,1445,1435,-10,0,0,N,1053,,,,0
1,6,1/29/22 0:00,AA,MQ,4134,ORD,SYR,805,1056,1106,10,0,0,N,607,,,,0
1,6,1/29/22 0:00,AA,PT,6235,ORD,SYR,1804,2053,2102,9,0,0,N,607,,,,0
1,6,1/29/22 0:00,B6,B6,116,JFK,SYR,925,1043,,,1,0,N,209,,,,0
